...1,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
23,S21177034,Canada Goose,Branta canadensis,2015-01-03,14:00:00,4,90,US-IL,39.924334,-91.4148653,11,1,2015
24,S37097000,Canada Goose,Branta canadensis,2017-05-23,14:06:00,1,50,US-VT,44.097019,-73.342045100000007,44,5,2017
25,S1740462,Canada Goose,Branta canadensis,2004-10-05,17:00:00,2,0,US-VT,43.7829965,-73.3154315,12,10,2004
26,S22598375,Canada Goose,Branta canadensis,2015-03-30,16:30:00,65,30,US-VT,43.7829965,-73.3154315,81,3,2015
27,S22635608,Canada Goose,Branta canadensis,2015-04-01,16:30:00,2,20,US-VT,43.7829965,-73.3154315,16,4,2015
28,S37075088,Canada Goose,Branta canadensis,2017-05-22,18:17:00,1,9,US-VT,43.7829965,-73.3154315,61,5,2017
29,S37111692,Canada Goose,Branta canadensis,2017-05-24,09:29:00,2,42,US-VT,43.7829965,-73.3154315,62,5,2017
30,S36840514,Canada Goose,Branta canadensis,2017-05-13,10:40:00,30,275,US-MO,38.8636,-92.4504,515,5,2017
31,S111728537,Canada Goose,Branta canadensis,2022-05-30,08:08:00,12,302,US-OK,36.850766,-102.8821564,100,5,2022
32,S87540889,Canada Goose,Branta canadensis,2021-05-08,12:55:00,10,22,US-OK,34.7112086,-98.6755943,41,5,2021
33,S44577908,Canada Goose,Branta canadensis,2018-04-14,15:50:00,2,208,US-MO,38.482151,-90.8242569,222,4,2018
34,S22866773,Canada Goose,Branta canadensis,2015-04-14,06:30:00,2,150,US-AZ,33.3607858,-111.9382811,47,4,2015
35,S1612893,Canada Goose,Branta canadensis,2004-02-22,13:00:00,137,60,US-CA,38.298008,-119.226204,224,2,2004
36,S1612884,Canada Goose,Branta canadensis,2004-02-22,10:00:00,27,105,US-CA,38.01634,-119.123795,43,2,2004
37,S100948655,Canada Goose,Branta canadensis,2022-01-17,11:31:00,4,223,US-OK,35.6222331,-95.1711273,69,1,2022
38,S54632771,Canada Goose,Branta canadensis,2019-04-06,11:20:00,2,122,US-OK,36.2081998,-96.0600758,40,4,2019
39,S69480437,Canada Goose,Branta canadensis,2020-05-14,09:21:00,2,219,US-OK,36.2081998,-96.0600758,97,5,2020
40,S80524373,Canada Goose,Branta canadensis,2021-02-06,10:33:00,2,93,US-OK,36.2081998,-96.0600758,58,2,2021
